"","o.RI_guaiv_c","o.RI_gfuov_c","o.RI_gpdiv_c","o.RI_ginscolv_c","o.RI_ghumv_c","o.RI_gperv_c","o.RI_gigrcolv_c","o.RI_ggndv_c","o.RI_gassv_c"
"model_name","o.RI_guaiv_c","o.RI_gfuov_c","o.RI_gpdiv_c","o.RI_ginscolv_c","o.RI_ghumv_c","o.RI_gperv_c","o.RI_gigrcolv_c","o.RI_ggndv_c","o.RI_gassv_c"
"dv","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome"
"cul","guaiv_c","gfuov_c","gpdiv_c","ginscolv_c","ghumv_c","gperv_c","gigrcolv_c","ggndv_c","gassv_c"
"intercept","-0.0773","-0.0375","-0.0400"," 0.0326","-0.0527"," 0.0379","-0.0083","-0.0706","-0.0157"
"intercept_se","0.1018","0.1006","0.1039","0.0989","0.0964","0.0772","0.0856","0.1003","0.0854"
"intercept_t","-0.7598","-0.3733","-0.3851"," 0.3299","-0.5469"," 0.4901","-0.0976","-0.7039","-0.1834"
"intercept_sig"," "," "," "," "," "," "," "," "," "
"agility2cj","0.3980","0.3985","0.3983","0.3984","0.3978","0.3985","0.3981","0.3982","0.3980"
"agility2cj_se","0.0457","0.0457","0.0457","0.0457","0.0457","0.0456","0.0456","0.0457","0.0456"
"agility2cj_t","8.7155","8.7272","8.7175","8.7214","8.7136","8.7334","8.7281","8.7134","8.7256"
"agility2cj_sig","***","***","***","***","***","***","***","***","***"
"network2xcj","-0.1056","-0.1059","-0.1055","-0.1069","-0.1063","-0.1055","-0.1072","-0.1057","-0.1076"
"network2xcj_se","0.0851","0.0851","0.0851","0.0851","0.0850","0.0850","0.0850","0.0851","0.0850"
"network2xcj_t","-1.2416","-1.2452","-1.2399","-1.2558","-1.2498","-1.2410","-1.2614","-1.2419","-1.2669"
"network2xcj_sig"," "," "," "," "," "," "," "," "," "
"agility_network_int","0.0164","0.0205","0.0184","0.0214","0.0174","0.0181","0.0232","0.0209","0.0249"
"agility_network_int_se","0.1055","0.1054","0.1056","0.1056","0.1055","0.1054","0.1052","0.1055","0.1052"
"agility_network_int_t","0.1551","0.1940","0.1745","0.2029","0.1648","0.1722","0.2205","0.1980","0.2363"
"agility_network_int_sig"," "," "," "," "," "," "," "," "," "
"firmsizestd","-0.0632","-0.0663","-0.0644","-0.0638","-0.0585","-0.0639","-0.0604","-0.0626","-0.0580"
"firmsizestd_se","0.0961","0.0959","0.0961","0.0960","0.0959","0.0956","0.0956","0.0961","0.0956"
"firmsizestd_t","-0.6573","-0.6915","-0.6699","-0.6644","-0.6099","-0.6680","-0.6317","-0.6514","-0.6065"
"firmsizestd_sig"," "," "," "," "," "," "," "," "," "
"gmci2016c","-0.0801","-0.0984","-0.0673","-0.0138","-0.0533","-0.0424","-0.0823","-0.0706","-0.0708"
"gmci2016c_se","0.0536","0.0535","0.0576","0.0527","0.0527","0.0420","0.0406","0.0527","0.0426"
"gmci2016c_t","-1.4957","-1.8398","-1.1668","-0.2612","-1.0130","-1.0103","-2.0279","-1.3396","-1.6613"
"gmci2016c_sig"," ","+"," "," "," "," ","+"," "," "
"firmsize_sq","0.0058","0.0061","0.0059","0.0058","0.0053","0.0056","0.0056","0.0058","0.0053"
"firmsize_sq_se","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095"
"firmsize_sq_t","0.6128","0.6442","0.6173","0.6094","0.5597","0.5917","0.5896","0.6045","0.5632"
"firmsize_sq_sig"," "," "," "," "," "," "," "," "," "
"var_firm","0.7776921","0.7772918","0.7782195","0.7782163","0.7772525","0.7764601","0.7758375","0.7784818","0.7759186"
"var_intercept","0.10553762","0.09722685","0.07742218","0.08349816","0.14810067","0.07686597","0.08197391","0.09597762","0.03414187"
"var_culc","0.1649402","0.3722403","0.9871606","0.2932197","1.6989461","1.0574238","0.6690027","0.3192984","0.1496988"
"cov_int_culc"," 0.08747144","-0.13351213"," 0.10744580","-0.07581271","-0.44222604","-0.24593851","-0.20618975","-0.10457514"," 0.04999132"
"deviance","1525.298","1523.958","1525.237","1524.555","1523.439","1518.647","1519.628","1524.602","1518.548"
"para_count","11","11","11","11","11","11","11","11","11"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0","0","0","0"
"aic","1547.298","1545.958","1547.237","1546.555","1545.439","1540.647","1541.628","1546.602","1540.548"
"bic","1595.272","1593.933","1595.211","1594.530","1593.413","1588.621","1589.602","1594.577","1588.522"
"group_count","15","15","15","15","15","15","15","15","15"
"firm_count","579","579","579","579","579","579","579","579","579"
