"","RI_guaip_c","RI_gfuop_c","RI_gpdip_c","RI_ginscolp_c","RI_ghump_c","RI_gpefp_c","RI_gigrcolp_c","RI_ggndp_c","RI_gassp_c"
"model_name","RI_guaip_c","RI_gfuop_c","RI_gpdip_c","RI_ginscolp_c","RI_ghump_c","RI_gpefp_c","RI_gigrcolp_c","RI_ggndp_c","RI_gassp_c"
"dv","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome"
"cul","guaip_c","gfuop_c","gpdip_c","ginscolp_c","ghump_c","gpefp_c","gigrcolp_c","ggndp_c","gassp_c"
"intercept","-0.0079"," 0.0165","-0.0110"," 0.0001","-0.0279","-0.0239"," 0.0211","-0.0845"," 0.0414"
"intercept_se","0.1046","0.0956","0.1048","0.0887","0.1133","0.1035","0.0920","0.1151","0.1027"
"intercept_t","-0.0753"," 0.1732","-0.1047"," 0.0015","-0.2464","-0.2312"," 0.2293","-0.7345"," 0.4029"
"intercept_sig"," "," "," "," "," "," "," "," "," "
"culc"," 0.0764","-0.4247"," 0.4186","-0.0116"," 0.1773","-0.3890"," 0.2555"," 0.2757","-0.3755"
"culc_se","0.2244","0.2770","0.3851","0.2859","0.3113","0.3720","0.1227","0.4371","0.2757"
"culc_t"," 0.3405","-1.5334"," 1.0869","-0.0406"," 0.5695","-1.0456"," 2.0821"," 0.6308","-1.3619"
"culc_sig"," "," "," "," "," "," ","*"," "," "
"agility2cj","0.3983","0.3986","0.3983","0.3987","0.3980","0.3983","0.3985","0.3981","0.3984"
"agility2cj_se","0.0457","0.0457","0.0457","0.0457","0.0457","0.0457","0.0457","0.0457","0.0456"
"agility2cj_t","8.7254","8.7279","8.7213","8.7336","8.7129","8.7237","8.7267","8.7192","8.7335"
"agility2cj_sig","***","***","***","***","***","***","***","***","***"
"network2xcj","-0.1071","-0.1044","-0.1060","-0.1068","-0.1070","-0.1057","-0.1045","-0.1063","-0.1046"
"network2xcj_se","0.0850","0.0851","0.0851","0.0850","0.0851","0.0851","0.0851","0.0851","0.0850"
"network2xcj_t","-1.2589","-1.2272","-1.2461","-1.2561","-1.2568","-1.2431","-1.2289","-1.2500","-1.2314"
"network2xcj_sig"," "," "," "," "," "," "," "," "," "
"agility_network_int","0.0161","0.0145","0.0169","0.0189","0.0186","0.0145","0.0192","0.0159","0.0145"
"agility_network_int_se","0.1056","0.1055","0.1055","0.1055","0.1056","0.1055","0.1054","0.1056","0.1054"
"agility_network_int_t","0.1526","0.1372","0.1602","0.1793","0.1760","0.1379","0.1817","0.1507","0.1378"
"agility_network_int_sig"," "," "," "," "," "," "," "," "," "
"firmsizestd","-0.0640","-0.0684","-0.0644","-0.0666","-0.0616","-0.0659","-0.0676","-0.0635","-0.0680"
"firmsizestd_se","0.0959","0.0959","0.0960","0.0957","0.0960","0.0960","0.0958","0.0960","0.0958"
"firmsizestd_t","-0.6677","-0.7131","-0.6705","-0.6956","-0.6420","-0.6863","-0.7053","-0.6615","-0.7093"
"firmsizestd_sig"," "," "," "," "," "," "," "," "," "
"gmci2016c"," 0.0082","-0.0419","-0.0335","-0.0155","-0.0789","-0.0111","-0.0503","-0.0572","-0.0229"
"gmci2016c_se","0.0525","0.0497","0.0573","0.0520","0.0574","0.0719","0.0461","0.0545","0.0484"
"gmci2016c_t"," 0.1569","-0.8433","-0.5841","-0.2983","-1.3747","-0.1544","-1.0913","-1.0501","-0.4736"
"gmci2016c_sig"," "," "," "," "," "," "," "," "," "
"firmsize_sq","0.0058","0.0061","0.0059","0.0060","0.0057","0.0060","0.0062","0.0058","0.0062"
"firmsize_sq_se","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095","0.0095"
"firmsize_sq_t","0.6113","0.6471","0.6201","0.6277","0.6022","0.6345","0.6532","0.6146","0.6518"
"firmsize_sq_sig"," "," "," "," "," "," "," "," "," "
"var_firm","0.7771218","0.7775974","0.7775683","0.7772489","0.7781092","0.7772690","0.7775083","0.7773268","0.7760428"
"var_intercept","0.06203910","0.06735090","0.10853075","0.03556960","0.10217150","0.09849914","0.06404968","0.10670789","0.05662193"
"var_culc","0.35015760","0.32390691","0.28900375","0.52599023","0.38674789","0.23325682","0.05712016","0.89142098","0.55347129"
"cov_int_culc","-0.09282655"," 0.03019179","-0.04207433"," 0.03007500"," 0.10926640"," 0.07682708","-0.02301006","-0.22396909","-0.14400883"
"deviance","1523.689","1523.399","1525.394","1522.399","1525.763","1523.735","1521.984","1524.161","1519.288"
"para_count","12","12","12","12","12","12","12","12","12"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0","0","0","0"
"aic","1547.689","1547.399","1549.394","1546.399","1549.763","1547.735","1545.984","1548.161","1543.288"
"bic","1600.024","1599.735","1601.730","1598.735","1602.098","1600.070","1598.320","1600.497","1595.624"
"group_count","15","15","15","15","15","15","15","15","15"
"firm_count","579","579","579","579","579","579","579","579","579"
