"","RI_guaip_c","RI_gfuop_c","RI_gpdip_c","RI_ginscolp_c","RI_ghump_c","RI_gpefp_c","RI_gigrcolp_c","RI_ggndp_c","RI_gassp_c"
"model_name","RI_guaip_c","RI_gfuop_c","RI_gpdip_c","RI_ginscolp_c","RI_ghump_c","RI_gpefp_c","RI_gigrcolp_c","RI_ggndp_c","RI_gassp_c"
"dv","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome","outcome"
"cul","guaip_c","gfuop_c","gpdip_c","ginscolp_c","ghump_c","gpefp_c","gigrcolp_c","ggndp_c","gassp_c"
"var_intercept","0.06147783","0.07092406","0.10854592","0.03242463","0.10426304","0.09895656","0.06644631","0.10699227","0.05712459"
"var_culc","0.35213271","0.32838358","0.28236632","0.59060117","0.37590341","0.22631989","0.05546758","0.88983309","0.56360871"
"cov_int_culc","-0.09151002"," 0.02186372","-0.03417357"," 0.02155946"," 0.10767206"," 0.06436924","-0.01958722","-0.22528709","-0.14579024"
"deviance","1521.587","1519.451","1522.835","1513.780","1515.720","1521.750","1515.438","1522.692","1516.648"
"para_count","15","15","15","15","15","15","15","15","15"
"sigularity","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"convWarning","0","0","0","0","0","0","0","0","0"
"aic","1551.587","1549.451","1552.835","1543.780","1545.720","1551.750","1545.438","1552.692","1546.648"
"bic","1617.007","1614.870","1618.254","1609.200","1611.140","1617.170","1610.857","1618.111","1612.068"
"group_count","15","15","15","15","15","15","15","15","15"
"firm_count","579","579","579","579","579","579","579","579","579"
